"match_id","team1","team2","start_date","venue","city","toss_winner","toss_decision","winner","innings_1_total","innings_2_total","daily_temperature_2m_mean","daily_relative_humidity_2m_mean","daily_rain_sum","daily_cloud_cover_mean","daily_sunset","innings_1_over_2_score","innings_1_over_4_score","innings_1_over_6_score","innings_1_over_8_score","innings_1_over_10_score","innings_1_over_12_score","innings_1_over_14_score","innings_1_over_16_score","innings_1_over_18_score","innings_1_over_20_score","innings_2_over_2_score","innings_2_over_4_score","innings_2_over_6_score","innings_2_over_8_score","innings_2_over_10_score","innings_2_over_12_score","innings_2_over_14_score","innings_2_over_16_score","innings_2_over_18_score","innings_2_over_20_score","innings_1_over_2_wickets","innings_1_over_4_wickets","innings_1_over_6_wickets","innings_1_over_8_wickets","innings_1_over_10_wickets","innings_1_over_12_wickets","innings_1_over_14_wickets","innings_1_over_16_wickets","innings_1_over_18_wickets","innings_1_over_20_wickets","innings_2_over_2_wickets","innings_2_over_4_wickets","innings_2_over_6_wickets","innings_2_over_8_wickets","innings_2_over_10_wickets","innings_2_over_12_wickets","innings_2_over_14_wickets","innings_2_over_16_wickets","innings_2_over_18_wickets","innings_2_over_20_wickets","team_1_win"
"211048","New Zealand","Australia",2005-02-17,"Eden Park","Auckland","Australia","bat","Australia",214,170,19.2,70,0,56,"2005-02-17T20:15",22,46,58,72,89,109,134,147,170,214,12,36,52,76,92,101,114,126,159,170,2,3,4,4,4,4,4,5,5,5,0,0,2,3,3,5,6,7,7,10,FALSE
"211028","England","Australia",2005-06-13,"The Rose Bowl","Southampton","England","bat","England",179,79,12.7,63,0,26,"2005-06-13T20:20",6,29,50,68,93,105,111,132,157,179,18,24,31,49,65,72,79,NA,NA,NA,0,1,2,2,2,4,5,5,5,8,0,4,7,7,7,8,9,NA,NA,NA,TRUE
"222678","South Africa","New Zealand",2005-10-21,"New Wanderers Stadium","Johannesburg","New Zealand","field","New Zealand",133,134,18.6,30,0,0,"2005-10-21T18:17",24,34,59,78,88,99,106,112,121,133,13,29,41,57,72,80,87,110,134,NA,0,0,0,0,1,2,4,6,8,10,0,0,2,3,3,3,4,4,5,NA,FALSE
"226374","Australia","South Africa",2006-01-09,"Brisbane Cricket Ground, Woolloongabba","Brisbane","Australia","bat","Australia",209,114,24.7,81,5.2,74,"2006-01-09T18:47",11,31,50,64,92,110,136,159,174,209,7,9,26,39,52,73,92,102,113,NA,0,0,0,1,1,2,2,2,2,3,0,2,2,3,3,4,6,6,8,NA,TRUE
"237242","New Zealand","West Indies",2006-02-16,"Eden Park","Auckland","New Zealand","field",NA,126,126,19.1,77,0.6,49,"2006-02-16T20:17",8,14,23,39,54,65,79,84,104,126,14,21,45,66,74,82,87,95,104,126,0,1,1,2,4,4,5,5,5,7,1,1,2,2,3,4,5,6,7,8,NA
"238195","South Africa","Australia",2006-02-24,"New Wanderers Stadium","Johannesburg","South Africa","bat","South Africa",201,199,17.9,84,4.5,92,"2006-02-24T18:43",15,31,48,65,83,105,127,159,177,201,18,35,53,74,88,111,132,155,176,199,0,0,1,1,1,1,1,1,3,4,1,2,3,3,4,5,6,6,6,7,TRUE
"225271","England","Sri Lanka",2006-06-15,"The Rose Bowl","Southampton","Sri Lanka","bat","Sri Lanka",163,161,15.5,67,0,58,"2006-06-15T20:21",10,33,58,75,84,102,118,137,151,163,10,23,49,61,72,89,107,120,145,161,0,0,0,1,3,5,6,7,7,10,0,0,0,1,1,2,2,4,4,5,FALSE
"225263","England","Pakistan",2006-08-28,"County Ground","Bristol","England","bat","Pakistan",144,148,15.1,71,3.4,69,"2006-08-28T19:06",9,33,40,50,60,82,96,106,119,144,11,25,66,77,94,102,112,127,148,NA,0,0,3,3,4,4,4,5,6,7,0,2,2,3,3,4,4,5,5,NA,FALSE
"255954","South Africa","India",2006-12-01,"New Wanderers Stadium","Johannesburg","South Africa","bat","India",126,127,20,64,0.5,58,"2006-12-01T18:46",15,24,31,41,57,64,83,103,113,126,8,17,29,52,65,75,89,98,111,127,0,1,2,4,4,5,5,6,6,9,0,1,1,1,2,3,3,3,4,4,FALSE
"251487","New Zealand","Sri Lanka",2006-12-22,"Westpac Stadium","Wellington","New Zealand","bat","Sri Lanka",162,62,11,62,2.1,72,"2006-12-22T20:54",29,49,66,82,101,108,130,135,152,162,23,36,62,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,2,3,3,5,6,8,0,0,1,NA,NA,NA,NA,NA,NA,NA,FALSE
